hasPeak.An_ecoA_20h_HA_1	hasPeak.An_ecoA_48h_HA_1	group	ID	Description	Count	GeneRatio	geneID
FALSE	TRUE	2	GO:0019222	regulation of metabolic process	114	114/1253	AN5052/AN11773/AN4965/AN4953/AN4933/AN10606/AN4570/AN4558/AN4521/AN11910/AN4447/AN10548/AN11112/AN8671/AN8655/AN8645/AN8643/AN11099/AN7951/AN8111/AN8164/AN8170/AN8234/AN8282/AN4189/AN4034/AN3941/AN3868/AN3769/AN3684/AN3683/AN3637/AN7346/AN7332/AN7297/AN10911/AN7190/AN7103/AN7072/AN7050/AN7487/AN7545/AN7819/AN6430/AN6392/AN6293/AN6070/AN10763/AN5898/AN6747/AN6749/AN6832/AN10854/AN6889/AN6892/AN6893/AN11250/AN9293/AN9395/AN1339/AN10171/AN1168/AN10164/AN1017/AN0978/AN0974/AN0835/AN0817/AN0748/AN0738/AN0651/AN0568/AN0440/AN10059/AN0253/AN0197/AN0162/AN9424/AN1406/AN10192/AN1485/AN1678/AN11793/AN1844/AN1867/AN2020/AN2025/AN2072/AN2141/AN2180/AN12120/AN2426/AN2489/AN9221/AN9120/AN9116/AN11165/AN3435/AN3413/AN3385/AN3369/AN3095/AN3090/AN3048/AN2905/AN2901/AN2761/AN10336/AN8345/AN8414/AN8473/AN8506/AN5691/AN5451
FALSE	TRUE	2	GO:0019748	secondary metabolic process	46	46/1253	AN4933/AN4570/AN4481/AN8645/AN7898/AN7899/AN7911/AN7998/AN12402/AN8078/AN8199/AN4189/AN10930/AN12400/AN7265/AN7084/AN7072/AN7819/AN7821/AN6446/AN6443/AN6429/AN6236/AN5885/AN6749/AN6784/AN6791/AN9244/AN1242/AN1036/AN1035/AN0651/AN0147/AN0082/AN9005/AN1680/AN1844/AN3435/AN3380/AN2924/AN2623/AN2622/AN2621/AN11080/AN8507/AN8518
FALSE	TRUE	2	GO:0032259	methylation	8	8/1253	AN4570/AN8799/AN8282/AN6013/AN0757/AN2426/AN3096/AN2759
FALSE	TRUE	2	GO:0042440	pigment metabolic process	5	5/1253	AN4189/AN5905/AN5885/AN1403/AN0839
FALSE	TRUE	2	GO:0042445	hormone metabolic process	1	1/1253	AN8078
FALSE	TRUE	2	GO:0044237	cellular metabolic process	371	371/1253	AN12280/AN5052/AN5011/AN11773/AN4965/AN4953/AN4933/AN10606/AN4809/AN4760/AN4743/AN4716/AN4707/AN4691/AN4601/AN4587/AN4570/AN4569/AN4558/AN4521/AN11910/AN4468/AN4467/AN4452/AN4447/AN4416/AN4372/AN4367/AN4365/AN10548/AN8866/AN8843/AN11126/AN8837/AN8800/AN8799/AN8794/AN8793/AN11112/AN8671/AN8655/AN8645/AN8643/AN11099/AN7890/AN7911/AN7951/AN7971/AN7997/AN7998/AN12402/AN8007/AN8046/AN8060/AN8074/AN8078/AN8099/AN8111/AN8138/AN8149/AN8164/AN8169/AN8170/AN8191/AN9460/AN8199/AN8234/AN8280/AN8282/AN8293/AN4272/AN4271/AN4251/AN4244/AN4218/AN4208/AN4189/AN4056/AN4055/AN4034/AN10495/AN3941/AN3916/AN3894/AN3881/AN3868/AN3867/AN3824/AN3769/AN10444/AN3753/AN3684/AN3683/AN3637/AN3634/AN3626/AN3593/AN7388/AN10937/AN10930/AN7346/AN7332/AN7297/AN12400/AN7265/AN10911/AN7193/AN7190/AN10903/AN7123/AN7115/AN7103/AN7084/AN7072/AN7050/AN7032/AN7028/AN7014/AN7000/AN7487/AN7526/AN7545/AN10950/AN7621/AN7678/AN7711/AN7819/AN7847/AN10819/AN6438/AN6430/AN6392/AN6384/AN6347/AN6329/AN6297/AN6293/AN6272/AN6250/AN6236/AN10780/AN6209/AN6192/AN6182/AN6070/AN6035/AN6013/AN5985/AN10763/AN5973/AN5917/AN5909/AN5905/AN5898/AN5897/AN5888/AN5885/AN5833/AN6525/AN6604/AN6610/AN6642/AN6746/AN6747/AN6749/AN6784/AN6791/AN6832/AN10854/AN6866/AN6880/AN6889/AN6892/AN6893/AN11250/AN6933/AN10865/AN6968/AN9293/AN9395/AN1403/AN1342/AN1339/AN10171/AN1242/AN1172/AN1171/AN1168/AN1165/AN1148/AN1140/AN1131/AN1123/AN1102/AN10164/AN1071/AN10139/AN1036/AN1035/AN1017/AN0978/AN0974/AN10131/AN0840/AN0839/AN0835/AN0817/AN0797/AN0780/AN0757/AN0748/AN0738/AN0667/AN0651/AN0649/AN0636/AN0595/AN0579/AN0568/AN0567/AN0486/AN0484/AN0472/AN0440/AN10079/AN0428/AN0423/AN10059/AN10060/AN0314/AN0299/AN0254/AN0253/AN0252/AN0247/AN0226/AN0197/AN0174/AN0162/AN0147/AN0129/AN0082/AN10007/AN8977/AN8953/AN9424/AN12473/AN1406/AN1407/AN1409/AN10192/AN11252/AN10193/AN1485/AN1486/AN1502/AN1508/AN1538/AN1539/AN1554/AN1571/AN1678/AN1680/AN1713/AN1731/AN1733/AN1743/AN1798/AN1809/AN11793/AN1844/AN1867/AN1868/AN1895/AN1896/AN1897/AN1921/AN1999/AN2020/AN2025/AN2048/AN2062/AN2067/AN2069/AN2071/AN2072/AN2076/AN2141/AN2144/AN2303/AN2306/AN10299/AN2359/AN2373/AN12120/AN2426/AN2446/AN2489/AN2528/AN11962/AN9221/AN9157/AN9120/AN9116/AN11165/AN9106/AN3470/AN3466/AN3462/AN3456/AN3435/AN3431/AN3413/AN3412/AN3385/AN3380/AN3378/AN10396/AN3369/AN3222/AN3204/AN3201/AN3177/AN3176/AN3132/AN3096/AN3095/AN3090/AN3048/AN2999/AN2947/AN2916/AN2905/AN2903/AN2901/AN2900/AN11684/AN2860/AN2829/AN2796/AN2766/AN2761/AN2759/AN10336/AN2661/AN2623/AN2622/AN2621/AN8323/AN8345/AN8414/AN8473/AN11080/AN8491/AN8506/AN8545/AN5159/AN5227/AN5237/AN10649/AN10719/AN5751/AN5743/AN5691/AN5674/AN5646/AN5631/AN5517/AN5452/AN10673/AN5356
FALSE	TRUE	2	GO:0044238	primary metabolic process	368	368/1253	AN5052/AN5011/AN11773/AN4965/AN4953/AN4933/AN4925/AN10606/AN4825/AN4809/AN4760/AN4743/AN4716/AN4707/AN4691/AN4601/AN4587/AN4570/AN4558/AN4521/AN11910/AN4468/AN4467/AN4452/AN4447/AN4422/AN4372/AN4365/AN10548/AN8866/AN8843/AN11126/AN8837/AN8800/AN8799/AN8794/AN8793/AN11112/AN8743/AN8671/AN8655/AN8645/AN8643/AN11099/AN7890/AN7951/AN7962/AN7971/AN7997/AN12402/AN8007/AN8046/AN8060/AN8074/AN8111/AN8138/AN8149/AN8164/AN8169/AN8170/AN8191/AN9460/AN8234/AN8280/AN8282/AN8293/AN4272/AN4271/AN4251/AN4244/AN4218/AN4208/AN4189/AN4056/AN4055/AN4034/AN10502/AN3941/AN3916/AN10482/AN3903/AN3894/AN3881/AN3868/AN3867/AN3824/AN3769/AN3753/AN3733/AN3684/AN3683/AN3637/AN3636/AN3634/AN3626/AN3593/AN3583/AN7388/AN10937/AN7346/AN7332/AN7297/AN10911/AN7193/AN7190/AN10903/AN10900/AN7123/AN7115/AN7103/AN10887/AN7072/AN7050/AN7032/AN7028/AN7014/AN7000/AN7487/AN7526/AN7545/AN7678/AN10819/AN6438/AN6430/AN6392/AN6384/AN6382/AN6347/AN6329/AN6293/AN6286/AN6250/AN6236/AN10780/AN6209/AN6192/AN6182/AN6070/AN6035/AN6013/AN5986/AN5985/AN10763/AN5973/AN5917/AN5909/AN5905/AN5898/AN5897/AN5888/AN5885/AN10747/AN5833/AN6604/AN6610/AN6741/AN6747/AN6784/AN6832/AN10854/AN6866/AN6888/AN6889/AN6892/AN6893/AN11250/AN6933/AN10865/AN6948/AN6968/AN9293/AN9395/AN1342/AN1339/AN1332/AN1197/AN1172/AN1171/AN1168/AN1165/AN1123/AN1102/AN10164/AN1071/AN10139/AN1017/AN0978/AN0974/AN0963/AN10131/AN0851/AN0840/AN0839/AN0835/AN0817/AN0797/AN0780/AN0779/AN0757/AN0748/AN0738/AN0667/AN0651/AN0649/AN0636/AN0579/AN0568/AN0567/AN0486/AN0484/AN0472/AN0440/AN0428/AN0423/AN10059/AN10060/AN0338/AN0314/AN0299/AN0253/AN0252/AN0247/AN0226/AN0197/AN0174/AN0162/AN0129/AN10007/AN8977/AN8953/AN9424/AN12473/AN1406/AN1409/AN1418/AN1426/AN10192/AN11252/AN10193/AN1485/AN1486/AN1502/AN1508/AN1538/AN1539/AN1554/AN1571/AN1573/AN1678/AN1680/AN1713/AN1731/AN1733/AN1742/AN1743/AN1772/AN1798/AN1799/AN1804/AN1809/AN11793/AN1844/AN1852/AN1867/AN1868/AN1895/AN1896/AN1897/AN1921/AN2020/AN2025/AN2048/AN2062/AN2067/AN2069/AN2071/AN2072/AN2141/AN2157/AN2180/AN2194/AN2303/AN2306/AN10299/AN2359/AN2373/AN12120/AN2426/AN2446/AN2489/AN2503/AN2528/AN11962/AN9221/AN9157/AN9120/AN9116/AN11165/AN9106/AN3470/AN3466/AN3462/AN3456/AN3435/AN3432/AN3431/AN3413/AN3393/AN3385/AN3380/AN3378/AN10396/AN3369/AN3222/AN3201/AN3177/AN3176/AN3132/AN3096/AN3095/AN3090/AN3048/AN3013/AN2999/AN2947/AN2946/AN2936/AN2916/AN2905/AN2903/AN2901/AN2900/AN11684/AN2829/AN2828/AN2796/AN2766/AN2761/AN2759/AN10336/AN2661/AN8323/AN8345/AN8414/AN8473/AN11080/AN8491/AN8506/AN8545/AN5159/AN5227/AN5237/AN10649/AN10719/AN5777/AN5751/AN5691/AN5674/AN5646/AN5631/AN5619/AN5585/AN5517/AN5452/AN5451/AN10673/AN5402/AN5356
FALSE	TRUE	2	GO:0044281	small molecule metabolic process	131	131/1253	AN4809/AN4743/AN4691/AN4569/AN4372/AN8866/AN8843/AN8837/AN8800/AN8793/AN7890/AN7998/AN12402/AN8007/AN8060/AN8078/AN8099/AN8138/AN8169/AN8280/AN4208/AN4056/AN4055/AN10495/AN3916/AN3894/AN3881/AN3824/AN3733/AN3634/AN3626/AN3593/AN7388/AN7193/AN10903/AN7115/AN7084/AN7050/AN7028/AN7000/AN10950/AN6384/AN6293/AN6236/AN6209/AN6182/AN5986/AN5985/AN5909/AN5833/AN6525/AN6784/AN6791/AN10854/AN6866/AN6880/AN6889/AN6933/AN1342/AN1339/AN1148/AN1140/AN1071/AN1036/AN1035/AN1017/AN10131/AN0840/AN0797/AN0780/AN0667/AN0651/AN0649/AN0567/AN0484/AN10079/AN0428/AN0423/AN0314/AN0252/AN0174/AN0147/AN8977/AN1409/AN11252/AN1571/AN1731/AN1733/AN1743/AN1809/AN1844/AN1868/AN1895/AN1896/AN1897/AN1921/AN1999/AN2069/AN2144/AN2306/AN10299/AN2359/AN9157/AN9116/AN3466/AN3456/AN3435/AN3432/AN3431/AN3412/AN3380/AN3378/AN10396/AN3222/AN3132/AN3096/AN2999/AN2936/AN2916/AN2901/AN2900/AN2860/AN2829/AN2623/AN2622/AN2621/AN8323/AN8545/AN5237/AN5646/AN5356
FALSE	TRUE	2	GO:0070085	glycosylation	8	8/1253	AN4716/AN4601/AN8138/AN6182/AN5888/AN6610/AN0667/AN2761
FALSE	TRUE	2	GO:0071704	organic substance metabolic process	408	408/1253	AN12280/AN5052/AN5011/AN11773/AN4965/AN4953/AN4933/AN4925/AN10606/AN4825/AN4809/AN4760/AN4743/AN4716/AN4707/AN4691/AN4601/AN4587/AN4570/AN4569/AN4558/AN4521/AN11910/AN4468/AN4467/AN4452/AN4447/AN4422/AN4372/AN4367/AN4365/AN10548/AN8866/AN8843/AN11126/AN8837/AN8800/AN8799/AN8794/AN8793/AN11112/AN8743/AN8671/AN8655/AN8645/AN8643/AN11099/AN7890/AN7911/AN7951/AN7962/AN7971/AN7997/AN7998/AN12402/AN8007/AN8046/AN8060/AN8074/AN8078/AN8099/AN8111/AN8138/AN8149/AN8164/AN8169/AN8170/AN8191/AN9460/AN8199/AN8234/AN8280/AN8282/AN8293/AN4272/AN4271/AN4251/AN4244/AN4218/AN4208/AN4189/AN4056/AN4055/AN4034/AN10495/AN10502/AN3941/AN3916/AN10482/AN3903/AN3894/AN3881/AN3868/AN3867/AN3824/AN3769/AN10444/AN3753/AN3733/AN3684/AN3683/AN3637/AN3636/AN3634/AN3626/AN3593/AN3583/AN7388/AN10937/AN10930/AN7346/AN7332/AN7297/AN10911/AN7193/AN7190/AN10903/AN10900/AN7123/AN7115/AN7103/AN7084/AN10887/AN7072/AN7050/AN7032/AN7028/AN7014/AN7000/AN7487/AN7526/AN7545/AN10950/AN7621/AN7678/AN7711/AN7819/AN7847/AN10819/AN6438/AN6430/AN6392/AN6384/AN6382/AN6347/AN6329/AN6293/AN6286/AN6250/AN6236/AN10780/AN6209/AN6192/AN6182/AN6070/AN6035/AN6013/AN5986/AN5985/AN10763/AN5973/AN5917/AN5909/AN5905/AN5898/AN5897/AN5888/AN5885/AN10747/AN5833/AN6525/AN6604/AN6610/AN6741/AN6747/AN6749/AN6784/AN6791/AN6832/AN10854/AN6866/AN6880/AN6888/AN6889/AN6892/AN6893/AN11250/AN6933/AN10865/AN6948/AN6968/AN9293/AN9395/AN1403/AN1342/AN1339/AN1332/AN1242/AN1197/AN1172/AN1171/AN1168/AN1165/AN1148/AN1140/AN1123/AN1102/AN10164/AN1071/AN10139/AN1036/AN1035/AN1017/AN0978/AN0974/AN0963/AN10131/AN0851/AN0840/AN0839/AN0835/AN0817/AN0797/AN0780/AN0779/AN0757/AN0748/AN0738/AN0667/AN0651/AN0649/AN0636/AN0579/AN0568/AN0567/AN0486/AN0484/AN0472/AN0440/AN10079/AN0428/AN0423/AN10059/AN10060/AN0338/AN0314/AN0299/AN0253/AN0252/AN0247/AN0226/AN0197/AN0174/AN0162/AN0147/AN0129/AN0082/AN10007/AN8977/AN8953/AN9424/AN12473/AN1406/AN1409/AN1418/AN1426/AN10192/AN11252/AN10193/AN1485/AN1486/AN1502/AN1508/AN1538/AN1539/AN1554/AN1571/AN1573/AN1678/AN1680/AN1713/AN1731/AN1733/AN1742/AN1743/AN1772/AN1798/AN1799/AN1804/AN1809/AN11793/AN1844/AN1852/AN1867/AN1868/AN1895/AN1896/AN1897/AN1921/AN1999/AN2020/AN2025/AN2048/AN2062/AN2067/AN2069/AN2071/AN2072/AN2141/AN2144/AN2157/AN2180/AN2194/AN2303/AN2306/AN10299/AN2359/AN2373/AN12120/AN2426/AN2446/AN2489/AN2503/AN2528/AN11962/AN9221/AN9157/AN9120/AN9116/AN11165/AN9106/AN3470/AN3466/AN3462/AN3456/AN3435/AN3432/AN3431/AN3413/AN3412/AN3393/AN3385/AN3380/AN3378/AN10396/AN3369/AN3222/AN3204/AN3201/AN3177/AN3176/AN3132/AN3096/AN3095/AN3090/AN3048/AN3013/AN2999/AN2947/AN2946/AN2936/AN2916/AN2905/AN2903/AN2901/AN2900/AN11684/AN2860/AN2829/AN2828/AN2796/AN2766/AN2761/AN2759/AN10336/AN2737/AN2661/AN2623/AN2622/AN2621/AN8323/AN8345/AN8414/AN8473/AN11080/AN8491/AN8506/AN8545/AN5159/AN5227/AN5237/AN10649/AN10719/AN5777/AN5751/AN5691/AN5690/AN5674/AN5646/AN5631/AN5619/AN5585/AN5517/AN5452/AN5451/AN10673/AN5402/AN5356
FALSE	TRUE	2	GO:0031640	killing of cells of other organism	1	1/1253	AN3583
FALSE	TRUE	2	GO:0002682	regulation of immune system process	1	1/1253	AN3583
FALSE	TRUE	2	GO:0002684	positive regulation of immune system process	1	1/1253	AN3583
FALSE	TRUE	2	GO:0006955	immune response	1	1/1253	AN3583
FALSE	TRUE	2	GO:0016049	cell growth	10	10/1253	AN4743/AN10516/AN7487/AN5803/AN1324/AN10171/AN1171/AN1168/AN1025/AN2067
FALSE	TRUE	2	GO:0007117	budding cell bud growth	4	4/1253	AN4496/AN7487/AN1324/AN1025
FALSE	TRUE	2	GO:0030447	filamentous growth	58	58/1253	AN5010/AN4953/AN4743/AN4716/AN4685/AN12465/AN4570/AN4416/AN8863/AN8071/AN10516/AN4189/AN3683/AN3636/AN3583/AN7032/AN7487/AN7678/AN7698/AN6293/AN10763/AN5803/AN6685/AN10854/AN6892/AN6893/AN1324/AN10171/AN1171/AN1168/AN1123/AN1025/AN1017/AN0667/AN0651/AN0568/AN0253/AN0163/AN8877/AN12473/AN1418/AN1462/AN1539/AN1573/AN10227/AN1733/AN11793/AN1844/AN2067/AN2489/AN2516/AN3385/AN3095/AN3026/AN2901/AN8414/AN5774/AN5517
FALSE	TRUE	2	GO:0040008	regulation of growth	19	19/1253	AN7487/AN7698/AN1171/AN1017/AN0651/AN0636/AN0568/AN0559/AN0163/AN1485/AN1539/AN10227/AN11793/AN1844/AN2067/AN2306/AN2489/AN8414/AN5341
FALSE	TRUE	2	GO:0044110	growth involved in symbiotic interaction	2	2/1253	AN5885/AN8414
FALSE	TRUE	2	GO:0045926	negative regulation of growth	2	2/1253	AN1017/AN2489
FALSE	TRUE	2	GO:0045927	positive regulation of growth	6	6/1253	AN7487/AN7698/AN11793/AN1844/AN2067/AN8414
FALSE	TRUE	2	GO:0048589	developmental growth	2	2/1253	AN4743/AN1168
FALSE	TRUE	2	GO:0007059	chromosome segregation	11	11/1253	AN8282/AN1399/AN0253/AN1922/AN2141/AN2143/AN11344/AN2886/AN2761/AN10336/AN5631
FALSE	TRUE	2	GO:0007017	microtubule-based process	8	8/1253	AN4664/AN4417/AN1324/AN10111/AN0651/AN1475/AN2067/AN11344
FALSE	TRUE	2	GO:0000075	cell cycle checkpoint	1	1/1253	AN3941
FALSE	TRUE	2	GO:0000920	septum digestion after cytokinesis	4	4/1253	AN4496/AN7487/AN0472/AN3095
FALSE	TRUE	2	GO:0006457	protein folding	4	4/1253	AN4467/AN3592/AN12473/AN2238
